chain_id,round_no,task_type,prompt,tool_ranges,correct_answer,explanation
exp114-chain-0001-low,1,dose_response_shape,"SESSION
You are analysing experiment 114 at the Norwood phenotyping facility: a zinc (Zn)
dose series on 6 Camelina sativa (camelina) accessions at 0, 20, 40, 80, 160 and
320 mg kg-1, imaged over 28 days in six modalities.

This is a 2-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the measurement store
  schema_lookup(trait=)                           which modality records a trait, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: dose series, accession panel,
                                                  imaging rounds, replication plan
  literature_lookup(species=, property=)          published claims
  embedding_lookup(space=, query=, k=)            nearest accessions by profile similarity

TERMS
  treatment        the zinc dose, in mg kg-1
  genotype         the accession label
  Fv/Fm_Lss        photosystem-II efficiency, from the fc1 modality
  area_mm2         leaf area
  n_plants         distinct plants behind a cell
  round_to_round   variance of an accession's per-round means
  within_round     variance between plants inside one imaging round

ROUND 1 - TASK (dose_response_shape)
At which zinc dose does mean Fv/Fm_Lss peak across the panel?

RULES
1. Judge the curve as a whole, not a single cell.

TOOL OUTPUTS

>>> db_lookup(table=""fc1_values"", select=[""trait"", ""mean_value""], where=""experiment_id=114"", group_by=[""trait"", ""treatment""])
    mean value by trait, one column per treatment (mg kg-1).
    trait      t0     t20    t40    t80    t160   t320
    ---------  -----  -----  -----  -----  -----  -----
    Fv/Fm_Lss  0.499  0.506  0.528  0.496  0.472  0.429

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <dose in mg kg-1, digits only>
",(db_lookup[303:429]),40,(depends on: -; the plant-level Fv/Fm_Lss row peaks at 0.528 on t40 -> 40; no complications at this tier)
exp114-chain-0001-low,2,transition_sensitivity,"ROUND 2 - TASK (transition_sensitivity)
Starting from the zinc dose you identified in round 1, which accession
loses the most Fv/Fm_Lss when the dose is raised to the next level of the
design series?

RULES
1. Compare each accession against itself across the two doses.

TOOL OUTPUTS

>>> db_lookup(table=""fc1_values"", select=[""genotype"", ""mean_value""], where=""trait='Fv/Fm_Lss'"", group_by=[""genotype"", ""treatment""])
    mean Fv/Fm_Lss by accession, one column per treatment in the store.
    genotype  t20    t40    t80    t320
    --------  -----  -----  -----  -----
    70        0.555  0.548  0.517  0.503
    ISU 262   0.548  0.540  0.346  0.318
    65        0.548  0.509  0.475  0.438
    ISU 337   0.544  0.518  0.497  0.462

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <accession label exactly as it appears in the table>
",(db_lookup[55:204]),ISU 262,(depends on: round 1 answer 40; the step is t40->t80; per-accession drop ISU 262:+0.194  65:+0.034  70:+0.031  ISU 337:+0.021 -> ISU 262; no complications at this tier)
exp71-chain-0002-medium,1,dose_response_shape,"SESSION
You are analysing experiment 71 at the Norwood phenotyping facility: a nickel (Ni)
dose series on 6 Camelina sativa (camelina) accessions at 0, 50, 100, 200, 500 and
1000 mg kg-1, imaged over 28 days in six modalities.

This is a 4-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the measurement store
  schema_lookup(trait=)                           which modality records a trait, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: dose series, accession panel,
                                                  imaging rounds, replication plan
  literature_lookup(species=, property=)          published claims
  embedding_lookup(space=, query=, k=)            nearest accessions by profile similarity

TERMS
  treatment        the nickel dose, in mg kg-1
  genotype         the accession label
  Fv/Fm_Lss        photosystem-II efficiency, from the fc1 modality
  area_mm2         leaf area
  n_plants         distinct plants behind a cell
  round_to_round   variance of an accession's per-round means
  within_round     variance between plants inside one imaging round

ROUND 1 - TASK (dose_response_shape)
At which nickel dose does mean Fv/Fm_Lss peak across the panel?

RULES
1. Two rows in the store carry a similar trait name. Only the
   plant-level trait is the panel measurement; the dictionary says
   which that is.
2. Judge the curve as a whole, not a single cell.

TOOL OUTPUTS

>>> db_lookup(table=""fc1_values"", select=[""trait"", ""mean_value""], where=""experiment_id=71"", group_by=[""trait"", ""treatment""])
    mean value by trait, one column per treatment (mg kg-1).
    trait          t0     t50    t100   t200   t500   t1000
    -------------  -----  -----  -----  -----  -----  -----
    Fv/Fm_Lss      0.498  0.508  0.520  0.493  0.454  0.434
    avg_Fv/Fm_Lss  0.470  0.428  0.385  0.393  0.550  0.421

>>> schema_lookup(trait=""Fv/Fm_Lss"")
    trait dictionary: where the trait lives and at what entity level.
    trait          modality  table       unit  entity_level
    -------------  --------  ----------  ----  ------------
    Fv/Fm_Lss      fc1       fc1_values  a.u.  plant
    avg_Fv/Fm_Lss  fc1       fc1_values  a.u.  region

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <dose in mg kg-1, digits only>
","(db_lookup[334:485],schema_lookup[485:583])",100,(depends on: -; the plant-level Fv/Fm_Lss row peaks at 0.520 on t100 -> 100; ablations: reading the alias row gives 500)
exp71-chain-0002-medium,2,transition_sensitivity,"ROUND 2 - TASK (transition_sensitivity)
Starting from the nickel dose you identified in round 1, which accession
loses the most Fv/Fm_Lss when the dose is raised to the next level of the
design series?

RULES
1. The store also holds a pilot dose that is not a level of the
   design series. The next level is the next one in the design
   table, which need not be the next column.
2. Only accessions in the core panel can be ranked; observational
   ones are carried for reference.
3. Compare each accession against itself across the two doses.

TOOL OUTPUTS

>>> db_lookup(table=""fc1_values"", select=[""genotype"", ""mean_value""], where=""trait='Fv/Fm_Lss'"", group_by=[""genotype"", ""treatment""])
    mean Fv/Fm_Lss by accession, one column per treatment in the store.
    genotype  t0     t100   t150   t200
    --------  -----  -----  -----  -----
    ISU 446   0.530  0.493  0.466  0.427
    RIL 369   0.540  0.518  0.359  0.345
    RIL 383   0.526  0.505  0.463  0.452
    Esp49     0.548  0.505  0.493  0.186
    73        0.532  0.524  0.493  0.289

>>> design_lookup(aspect=""dose_series"")
    the design levels, in order. Doses absent here are pilot cells.
    level  treatment
    -----  ---------
    1      0
    2      50
    3      100
    4      200
    5      500
    6      1000

>>> design_lookup(aspect=""accession_panel"")
    panel membership for this experiment.
    genotype  panel_role
    --------  -------------
    ISU 446   core
    RIL 369   core
    RIL 383   core
    Esp49     observational
    73        core

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <accession label exactly as it appears in the table>
","(db_lookup[113:276],design_lookup[276:329],design_lookup[329:382])",73,"(depends on: round 1 answer 100; the step is t100->t200, not the adjacent column t150 which is a pilot cell; per-accession drop 73:+0.235  RIL 369:+0.173  ISU 446:+0.066  RIL 383:+0.053 -> 73; ablations: stepping to the next column instead of the next design level gives RIL 369; ranking without the panel table gives Esp49, which is observational)"
exp71-chain-0002-medium,3,cross_modality_peak,"ROUND 3 - TASK (cross_modality_peak)
For the accession identified in round 2: at which dose does its leaf area
(area_mm2) peak, and does that dose agree with where Fv/Fm_Lss peaked
in round 1?

RULES
1. More than one modality reports this trait. Use the one the
   dictionary marks primary; the other is a derived estimate.
2. A cell flagged empty_mask carries no usable area and cannot be
   the peak. low_mask_coverage is on nearly every row and is not a
   reason to discard.
3. The verdict is AGREES when the area peak falls on the dose from
   round 1, and DISAGREES otherwise. Report both parts.

TOOL OUTPUTS

>>> db_lookup(table=""features"", select=[""modality"", ""genotype"", ""mean_area_mm2""], where=""trait='area_mm2'"", group_by=[""modality"", ""genotype"", ""treatment""])
    mean area_mm2 by modality and accession, one column per treatment.
    modality  genotype  t0     t50    t100
    --------  --------  -----  -----  -----
    rgb2      73        22.67  13.37  27.17
    rgb2      Esp49     12.69  21.96  13.30
    rgb2      RIL 383   6.72   9.65   18.48
    rgb2      ISU 446   9.81   18.97  10.12
    swir      73        7.83   9.34   16.97
    swir      Esp49     7.96   8.71   16.48
    swir      RIL 383   14.04  6.25   5.97
    swir      ISU 446   5.34   6.85   14.38

>>> qc_lookup(table=""rgb2_features"", select=[""genotype"", ""treatment"", ""flag""], where=""flag='empty_mask'"")
    cells voided by empty_mask.
    genotype  treatment  flag
    --------  ---------  ----------
    73        100        empty_mask
    Esp49     100        empty_mask

>>> schema_lookup(trait=""area_mm2"")
    modalities reporting this trait.
    trait     modality  modality_role       unit  trait_role
    --------  --------  ------------------  ----  ----------
    area_mm2  rgb2      top-view RGB        mm2   primary
    area_mm2  swir      SWIR hyperspectral  mm2   derived

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <dose in mg kg-1, digits only>; <AGREES or DISAGREES>
","(db_lookup[126:319],qc_lookup[319:397],schema_lookup[397:480])",0; DISAGREES,(depends on: round 2 answer 73 and round 1 answer 100; on the rgb2 row for 73 the largest usable cell is t0 -> 0; DISAGREES; ablations: reading the swir rows gives 100; AGREES; ignoring empty_mask gives 100; AGREES)
exp71-chain-0002-medium,4,modality_coverage,"ROUND 4 - TASK (modality_coverage)
For the accession identified in round 2: which modalities hold usable feature
rows for it in this experiment?

RULES
1. A modality never scheduled for this experiment does not count,
   even if rows for it exist: those were carried over.
2. A modality whose rows are all flagged holds nothing usable.
3. List the modalities in the column order of the store table.

TOOL OUTPUTS

>>> db_lookup(table=""features"", select=[""genotype"", ""modality"", ""n_rows""], group_by=[""genotype"", ""modality""])
    feature rows per accession, one column per modality.
    genotype  fc1  rgb2  msc1  vnir  swir  s3d
    --------  ---  ----  ----  ----  ----  ---
    73        18   67    60    31    0     47
    Esp49     0    61    59    19    25    0
    RIL 383   0    56    59    26    0     0
    ISU 446   21   63    66    0     48    0

>>> qc_lookup(table=""features"", select=[""genotype"", ""modality"", ""n_usable""], group_by=[""genotype"", ""modality""])
    rows surviving QC, one column per modality.
    genotype  fc1  rgb2  msc1  vnir  swir  s3d
    --------  ---  ----  ----  ----  ----  ---
    73        18   66    58    0     0     46
    Esp49     0    60    57    16    25    0
    RIL 383   0    53    56    23    0     0
    ISU 446   21   61    64    0     45    0

>>> design_lookup(aspect=""imaging_rounds"")
    imaging rounds scheduled per modality for this experiment.
    modality  records                   rounds_scheduled
    --------  ------------------------  ----------------
    fc1       chlorophyll fluorescence  64
    rgb2      top-view RGB              24
    msc1      multispectral             46
    vnir      VNIR hyperspectral        44
    swir      SWIR hyperspectral        29
    s3d       3-D structural scan       0

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <modalities, comma separated, in table column order>
","(db_lookup[82:198],qc_lookup[198:313],design_lookup[313:412])","fc1, rgb2, msc1","(depends on: round 2 answer 73; that row is non-zero for fc1, rgb2, msc1, vnir, s3d, but s3d was never scheduled and vnir has nothing left after QC -> fc1, rgb2, msc1; ablations: ignoring the schedule gives fc1, rgb2, msc1, s3d; ignoring the quality gate gives fc1, rgb2, msc1, vnir)"
exp42-chain-0003-medium,1,dose_response_shape,"SESSION
You are analysing experiment 42 at the Hollandale phenotyping facility: a cobalt
(Co) dose series on 6 Thlaspi arvense (pennycress) accessions at 0, 20, 40, 80,
160 and 320 mg kg-1, imaged over 28 days in six modalities.

This is a 4-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the measurement store
  schema_lookup(trait=)                           which modality records a trait, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: dose series, accession panel,
                                                  imaging rounds, replication plan
  literature_lookup(species=, property=)          published claims
  embedding_lookup(space=, query=, k=)            nearest accessions by profile similarity

TERMS
  treatment        the cobalt dose, in mg kg-1
  genotype         the accession label
  Fv/Fm_Lss        photosystem-II efficiency, from the fc1 modality
  area_mm2         leaf area
  n_plants         distinct plants behind a cell
  round_to_round   variance of an accession's per-round means
  within_round     variance between plants inside one imaging round

ROUND 1 - TASK (dose_response_shape)
At which cobalt dose does mean Fv/Fm_Lss peak across the panel?

RULES
1. A treatment cell must clear the usable-plant floor in the quality
   gate before it can be called a peak.
2. Judge the curve as a whole, not a single cell.

TOOL OUTPUTS

>>> qc_lookup(table=""fc1_values"", select=[""treatment"", ""n_plants_usable""], where=""trait='Fv/Fm_Lss'"")
    plants surviving QC per treatment; the floor for a panel claim is 15.
    treatment  n_plants_usable
    ---------  ---------------
    0          52
    20         11
    40         48
    80         49
    160        48
    320        49

>>> db_lookup(table=""fc1_values"", select=[""trait"", ""mean_value""], where=""experiment_id=42"", group_by=[""trait"", ""treatment""])
    mean value by trait, one column per treatment (mg kg-1).
    trait      t0     t20    t40    t80    t160   t320
    ---------  -----  -----  -----  -----  -----  -----
    Fv/Fm_Lss  0.463  0.545  0.506  0.520  0.488  0.447

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <dose in mg kg-1, digits only>
","(qc_lookup[327:415],db_lookup[415:541])",80,(depends on: -; the plant-level Fv/Fm_Lss row peaks at 0.520 on t80 -> 80; ablations: ignoring the quality gate gives 20 on 11 plants)
exp42-chain-0003-medium,2,transition_sensitivity,"ROUND 2 - TASK (transition_sensitivity)
Starting from the cobalt dose you identified in round 1, which accession
loses the most Fv/Fm_Lss when the dose is raised to the next level of the
design series?

RULES
1. Only accessions in the core panel can be ranked; observational
   ones are carried for reference.
2. Compare each accession against itself across the two doses.

TOOL OUTPUTS

>>> design_lookup(aspect=""accession_panel"")
    panel membership for this experiment.
    genotype   panel_role
    ---------  -------------
    RIL 337    core
    NIL 416    core
    45         core
    Ecm39      observational
    MAGIC 325  core

>>> db_lookup(table=""fc1_values"", select=[""genotype"", ""mean_value""], where=""trait='Fv/Fm_Lss'"", group_by=[""genotype"", ""treatment""])
    mean Fv/Fm_Lss by accession, one column per treatment in the store.
    genotype   t20    t80    t160   t320
    ---------  -----  -----  -----  -----
    RIL 337    0.546  0.530  0.508  0.465
    NIL 416    0.557  0.529  0.484  0.475
    45         0.520  0.507  0.476  0.450
    Ecm39      0.544  0.534  0.243  0.234
    MAGIC 325  0.560  0.539  0.346  0.304

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <accession label exactly as it appears in the table>
","(design_lookup[74:128],db_lookup[128:292])",MAGIC 325,"(depends on: round 1 answer 80; the step is t80->t160; per-accession drop MAGIC 325:+0.193  NIL 416:+0.045  45:+0.031  RIL 337:+0.022 -> MAGIC 325; ablations: ranking without the panel table gives Ecm39, which is observational)"
exp42-chain-0003-medium,3,cross_modality_peak,"ROUND 3 - TASK (cross_modality_peak)
For the accession identified in round 2: at which dose does its leaf area
(area_mm2) peak, and does that dose agree with where Fv/Fm_Lss peaked
in round 1?

RULES
1. More than one modality reports this trait. Use the one the
   dictionary marks primary; the other is a derived estimate.
2. A cell flagged empty_mask carries no usable area and cannot be
   the peak. low_mask_coverage is on nearly every row and is not a
   reason to discard.
3. The verdict is AGREES when the area peak falls on the dose from
   round 1, and DISAGREES otherwise. Report both parts.

TOOL OUTPUTS

>>> db_lookup(table=""features"", select=[""modality"", ""genotype"", ""mean_area_mm2""], where=""trait='area_mm2'"", group_by=[""modality"", ""genotype"", ""treatment""])
    mean area_mm2 by modality and accession, one column per treatment.
    modality  genotype   t0     t40    t80    t320
    --------  ---------  -----  -----  -----  -----
    rgb2      MAGIC 325  23.15  27.65  11.73  9.38
    rgb2      Ecm39      11.52  13.34  22.28  13.31
    rgb2      45         6.63   9.87   11.35  20.07
    rgb2      RIL 337    13.20  21.73  12.85  10.05
    vnir      MAGIC 325  10.18  17.31  9.91   8.79
    vnir      Ecm39      16.70  9.55   7.60   7.08
    vnir      45         6.45   7.67   15.15  7.75
    vnir      RIL 337    16.31  8.84   7.21   6.34

>>> qc_lookup(table=""rgb2_features"", select=[""genotype"", ""treatment"", ""flag""], where=""flag='empty_mask'"")
    cells voided by empty_mask.
    genotype   treatment  flag
    ---------  ---------  ----------
    MAGIC 325  40         empty_mask
    Ecm39      0          empty_mask

>>> schema_lookup(trait=""area_mm2"")
    modalities reporting this trait.
    trait     modality  modality_role       unit  trait_role
    --------  --------  ------------------  ----  ----------
    area_mm2  rgb2      top-view RGB        mm2   primary
    area_mm2  vnir      VNIR hyperspectral  mm2   derived

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <dose in mg kg-1, digits only>; <AGREES or DISAGREES>
","(db_lookup[126:350],qc_lookup[350:430],schema_lookup[430:513])",0; DISAGREES,(depends on: round 2 answer MAGIC 325 and round 1 answer 80; on the rgb2 row for MAGIC 325 the largest usable cell is t0 -> 0; DISAGREES; ablations: reading the vnir rows gives 40; DISAGREES; ignoring empty_mask gives 40; DISAGREES)
exp42-chain-0003-medium,4,modality_coverage,"ROUND 4 - TASK (modality_coverage)
For the accession identified in round 2: which modalities hold usable feature
rows for it in this experiment?

RULES
1. A modality never scheduled for this experiment does not count,
   even if rows for it exist: those were carried over.
2. A modality whose rows are all flagged holds nothing usable.
3. List the modalities in the column order of the store table.

TOOL OUTPUTS

>>> db_lookup(table=""features"", select=[""genotype"", ""modality"", ""n_rows""], group_by=[""genotype"", ""modality""])
    feature rows per accession, one column per modality.
    genotype   fc1  rgb2  msc1  vnir  swir  s3d
    ---------  ---  ----  ----  ----  ----  ---
    MAGIC 325  20   60    67    37    15    0
    Ecm39      0    65    64    0     37    0
    45         28   56    65    0     26    0
    RIL 337    30   60    64    0     0     0

>>> design_lookup(aspect=""imaging_rounds"")
    imaging rounds scheduled per modality for this experiment.
    modality  records                   rounds_scheduled
    --------  ------------------------  ----------------
    fc1       chlorophyll fluorescence  26
    rgb2      top-view RGB              28
    msc1      multispectral             26
    vnir      VNIR hyperspectral        0
    swir      SWIR hyperspectral        63
    s3d       3-D structural scan       38

>>> qc_lookup(table=""features"", select=[""genotype"", ""modality"", ""n_usable""], group_by=[""genotype"", ""modality""])
    rows surviving QC, one column per modality.
    genotype   fc1  rgb2  msc1  vnir  swir  s3d
    ---------  ---  ----  ----  ----  ----  ---
    MAGIC 325  19   59    64    34    0     0
    Ecm39      0    65    61    0     35    0
    45         28   55    65    0     23    0
    RIL 337    28   59    64    0     0     0

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <modalities, comma separated, in table column order>
","(db_lookup[82:199],design_lookup[199:298],qc_lookup[298:414])","fc1, rgb2, msc1","(depends on: round 2 answer MAGIC 325; that row is non-zero for fc1, rgb2, msc1, vnir, swir, but vnir was never scheduled and swir has nothing left after QC -> fc1, rgb2, msc1; ablations: ignoring the schedule gives fc1, rgb2, msc1, vnir; ignoring the quality gate gives fc1, rgb2, msc1, swir)"
