chain_id,round_no,task_type,prompt,tool_ranges,correct_answer,explanation
pmca0-chain-0000-hard,1,sensitivity_ranking,"SESSION
You are analysing screen 100 at the Ridgefield oncology screening facility:
24 compounds profiled against 371 patient-derived cancer cell lines,
with response predicted by Paccmann MCA from gene expression and compound structure.

This is a 4-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the prediction store
  schema_lookup(metric=)                          which metric is primary, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: compound panel, cell-line
                                                  roles, replication plan
  attention_lookup(sample=, axis=, k=)            model attention over genes or
                                                  compound tokens, from provenance

TERMS
  auc              predicted dose-response AUC; lower means more sensitive
  cell_line        the DepMap accession of a patient-derived line
  compound         the screened compound label
  panel_role       core lines are rankable; observational ones are carried for reference
  attention        the model's own weight on a gene, captured at inference

ROUND 1 - TASK (sensitivity_ranking)
Which cell line is predicted most sensitive to Drug_1005
(lowest auc)?

RULES
1. A cell line whose row is flagged in the quality gate cannot be
   the answer, however extreme its value.
2. Lower auc means more sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""], where=""compound='Drug_1005'"")
    predicted AUC for Drug_1005, one row per cell line.
    cell_line   auc_pred
    ----------  --------
    ACH-000544  0.8658  
    ACH-000111  0.8669  
    ACH-000756  0.8664  
    ACH-000260  0.8667  
    ACH-000838  0.8661  
    ACH-000109  0.8668  

>>> qc_lookup(table=""predictions"", select=[""cell_line"", ""flag""], where=""compound='Drug_1005' and flag is not null"")
    cells voided by QC; a voided cell cannot be an answer.
    cell_line   flag        
    ----------  ------------
    ACH-000109  failed_assay

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000544,(depends on: -; lowest usable auc is 0.8658 on ACH-000544 -> ACH-000544)
pmca0-chain-0000-hard,2,panel_restricted_rank,"ROUND 2 - TASK (panel_restricted_rank)
Among the core panel only, which cell line is predicted
least sensitive (highest auc)?

RULES
1. Only cell lines whose panel_role is core can be ranked;
   observational ones are carried for reference.
2. Higher auc means less sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""])
    predicted vs observed AUC, one row per cell line.
    cell_line   auc_pred  auc_true
    ----------  --------  --------
    ACH-000544  0.8658    0.8658  
    ACH-000111  0.8669    0.8669  
    ACH-000756  0.8664    0.8664  
    ACH-000260  0.8667    0.8667  
    ACH-000838  0.8661    0.8661  
    ACH-000109  0.8668    0.8668  

>>> design_lookup(aspect=""cell_line_panel"")
    panel membership for this screen.
    cell_line   panel_role
    ----------  ----------
    ACH-000544  core      
    ACH-000111  core      
    ACH-000756  core      
    ACH-000260  core      
    ACH-000838  core      
    ACH-000109  core      

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000111,(depends on: round 1 answer ACH-000544; highest core-panel auc is 0.8669 on ACH-000111 -> ACH-000111)
pmca0-chain-0000-hard,3,attention_attribution,"ROUND 3 - TASK (attention_attribution)
For cell line ACH-000111: which gene did the model attend to most
when making this prediction?

RULES
1. A gene marked housekeeping_sink absorbs attention on every
   sample and carries no sample-specific signal; it cannot be
   the answer.
2. Rank on attn_sum, the distribution-shaped reduction.

TOOL OUTPUTS

>>> attention_lookup(sample=""ACH-000111"", axis=""gene"", k=6)
    model attention over genes for this sample, from captured provenance.
    gene     attn_sum  attn_peak
    -------  --------  ---------
    PARN     0.9993    1.3990   
    RPUSD3   0.0006    0.0008   
    SPATA32  0.0001    0.0002   
    BCR      0.0000    0.0000   
    EIF2S1   0.0000    0.0000   
    COG5     0.0000    0.0000   

>>> schema_lookup(metric=""attention"")
    genes excluded from attribution claims.
    gene  role             
    ----  -----------------
    PARN  housekeeping_sink

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <gene symbol exactly as it appears in the table>
",,RPUSD3,"(depends on: round 2 answer ACH-000111; highest non-sink attn_sum is RPUSD3 -> RPUSD3; ablations: taking the top row without the schema table gives PARN, the housekeeping sink)"
pmca0-chain-0000-hard,4,prediction_audit,"ROUND 4 - TASK (prediction_audit)
For ACH-000111 and Drug_1005: report the absolute error between
predicted and observed auc, and whether the model agrees.

RULES
1. AGREES when the absolute error is within the tolerance in the
   schema table, DISAGREES otherwise.
2. Report the error to two decimal places.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""auc_pred"", ""auc_true""], where=""cell_line='ACH-000111' and compound='Drug_1005'"")
    model prediction against the observed value.
    cell_line   compound   auc_pred  auc_true
    ----------  ---------  --------  --------
    ACH-000111  Drug_1005  0.8669    0.9137  

>>> schema_lookup(metric=""auc"")
    agreement tolerance for this metric.
    metric  tolerance
    ------  ---------
    auc     0.10     

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <absolute error, two decimals>; <AGREES or DISAGREES>
",,0.05; AGREES,"(depends on: round 3; |0.8669 - 0.9137| = 0.0468, tolerance 0.10 -> 0.05; AGREES; no complications at this tier)"
pmca1-chain-0001-hard,1,sensitivity_ranking,"SESSION
You are analysing screen 101 at the Ridgefield oncology screening facility:
24 compounds profiled against 371 patient-derived cancer cell lines,
with response predicted by Paccmann MCA from gene expression and compound structure.

This is a 4-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the prediction store
  schema_lookup(metric=)                          which metric is primary, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: compound panel, cell-line
                                                  roles, replication plan
  attention_lookup(sample=, axis=, k=)            model attention over genes or
                                                  compound tokens, from provenance

TERMS
  auc              predicted dose-response AUC; lower means more sensitive
  cell_line        the DepMap accession of a patient-derived line
  compound         the screened compound label
  panel_role       core lines are rankable; observational ones are carried for reference
  attention        the model's own weight on a gene, captured at inference

ROUND 1 - TASK (sensitivity_ranking)
Which cell line is predicted most sensitive to Drug_1040
(lowest auc)?

RULES
1. A cell line whose row is flagged in the quality gate cannot be
   the answer, however extreme its value.
2. Lower auc means more sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""], where=""compound='Drug_1040'"")
    predicted AUC for Drug_1040, one row per cell line.
    cell_line   auc_pred
    ----------  --------
    ACH-000681  0.8322  
    ACH-000967  0.8324  
    ACH-000052  0.8323  
    ACH-000595  0.8322  
    ACH-000372  0.8323  
    ACH-000965  0.8323  

>>> qc_lookup(table=""predictions"", select=[""cell_line"", ""flag""], where=""compound='Drug_1040' and flag is not null"")
    cells voided by QC; a voided cell cannot be an answer.
    cell_line   flag        
    ----------  ------------
    ACH-000681  failed_assay

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000595,(depends on: -; lowest usable auc is 0.8322 on ACH-000595 -> ACH-000595; ablations: ignoring the QC table gives ACH-000681)
pmca1-chain-0001-hard,2,panel_restricted_rank,"ROUND 2 - TASK (panel_restricted_rank)
Among the core panel only, which cell line is predicted
least sensitive (highest auc)?

RULES
1. Only cell lines whose panel_role is core can be ranked;
   observational ones are carried for reference.
2. Higher auc means less sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""])
    predicted vs observed AUC, one row per cell line.
    cell_line   auc_pred  auc_true
    ----------  --------  --------
    ACH-000681  0.8322    0.8322  
    ACH-000967  0.8324    0.8324  
    ACH-000052  0.8323    0.8323  
    ACH-000595  0.8322    0.8322  
    ACH-000372  0.8323    0.8323  
    ACH-000965  0.8323    0.8323  

>>> design_lookup(aspect=""cell_line_panel"")
    panel membership for this screen.
    cell_line   panel_role   
    ----------  -------------
    ACH-000681  core         
    ACH-000967  observational
    ACH-000052  core         
    ACH-000595  core         
    ACH-000372  core         
    ACH-000965  core         

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000052,"(depends on: round 1 answer ACH-000595; highest core-panel auc is 0.8323 on ACH-000052 -> ACH-000052; ablations: ranking without the panel table gives ACH-000967, which is observational)"
pmca1-chain-0001-hard,3,attention_attribution,"ROUND 3 - TASK (attention_attribution)
For cell line ACH-000052: which gene did the model attend to most
when making this prediction?

RULES
1. A gene marked housekeeping_sink absorbs attention on every
   sample and carries no sample-specific signal; it cannot be
   the answer.
2. Rank on attn_sum, the distribution-shaped reduction.

TOOL OUTPUTS

>>> attention_lookup(sample=""ACH-000052"", axis=""gene"", k=6)
    model attention over genes for this sample, from captured provenance.
    gene     attn_sum  attn_peak
    -------  --------  ---------
    PARN     0.9995    1.3993   
    RPUSD3   0.0004    0.0006   
    SPATA32  0.0001    0.0002   
    BCR      0.0000    0.0000   
    EIF2S1   0.0000    0.0000   
    COG5     0.0000    0.0000   

>>> schema_lookup(metric=""attention"")
    genes excluded from attribution claims.
    gene  role             
    ----  -----------------
    PARN  housekeeping_sink

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <gene symbol exactly as it appears in the table>
",,RPUSD3,"(depends on: round 2 answer ACH-000052; highest non-sink attn_sum is RPUSD3 -> RPUSD3; ablations: taking the top row without the schema table gives PARN, the housekeeping sink)"
pmca1-chain-0001-hard,4,prediction_audit,"ROUND 4 - TASK (prediction_audit)
For ACH-000052 and Drug_1040: report the absolute error between
predicted and observed auc, and whether the model agrees.

RULES
1. AGREES when the absolute error is within the tolerance in the
   schema table, DISAGREES otherwise.
2. Report the error to two decimal places.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""auc_pred"", ""auc_true""], where=""cell_line='ACH-000052' and compound='Drug_1040'"")
    model prediction against the observed value.
    cell_line   compound   auc_pred  auc_true
    ----------  ---------  --------  --------
    ACH-000052  Drug_1040  0.8323    0.9527  

>>> schema_lookup(metric=""auc"")
    agreement tolerance for this metric.
    metric  tolerance
    ------  ---------
    auc     0.10     

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <absolute error, two decimals>; <AGREES or DISAGREES>
",,0.12; DISAGREES,"(depends on: round 3; |0.8323 - 0.9527| = 0.1204, tolerance 0.10 -> 0.12; DISAGREES; no complications at this tier)"
pmca2-chain-0002-hard,1,sensitivity_ranking,"SESSION
You are analysing screen 102 at the Ridgefield oncology screening facility:
24 compounds profiled against 371 patient-derived cancer cell lines,
with response predicted by Paccmann MCA from gene expression and compound structure.

This is a 4-round investigation. Each round gives you the results of the tool
calls it needs, already run; how many there are varies by round. Later rounds
build on what you established earlier and will not repeat it, so keep your own
answers.

TOOLS (results are inlined; you cannot issue new calls)
  db_lookup(table=, select=, where=, group_by=)   the prediction store
  schema_lookup(metric=)                          which metric is primary, and in what unit
  qc_lookup(table=, select=, where=)              flags, exclusions, usable counts
  design_lookup(aspect=)                          the protocol: compound panel, cell-line
                                                  roles, replication plan
  attention_lookup(sample=, axis=, k=)            model attention over genes or
                                                  compound tokens, from provenance

TERMS
  auc              predicted dose-response AUC; lower means more sensitive
  cell_line        the DepMap accession of a patient-derived line
  compound         the screened compound label
  panel_role       core lines are rankable; observational ones are carried for reference
  attention        the model's own weight on a gene, captured at inference

ROUND 1 - TASK (sensitivity_ranking)
Which cell line is predicted most sensitive to Drug_1087
(lowest auc)?

RULES
1. A cell line whose row is flagged in the quality gate cannot be
   the answer, however extreme its value.
2. Lower auc means more sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""], where=""compound='Drug_1087'"")
    predicted AUC for Drug_1087, one row per cell line.
    cell_line   auc_pred
    ----------  --------
    ACH-000987  0.6154  
    ACH-000997  0.6163  
    ACH-000226  0.6164  
    ACH-000118  0.6135  
    ACH-000149  0.6152  
    ACH-000147  0.6152  

>>> qc_lookup(table=""predictions"", select=[""cell_line"", ""flag""], where=""compound='Drug_1087' and flag is not null"")
    cells voided by QC; a voided cell cannot be an answer.
    cell_line   flag        
    ----------  ------------
    ACH-000118  failed_assay

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000149,(depends on: -; lowest usable auc is 0.6152 on ACH-000149 -> ACH-000149; ablations: ignoring the QC table gives ACH-000118)
pmca2-chain-0002-hard,2,panel_restricted_rank,"ROUND 2 - TASK (panel_restricted_rank)
Among the core panel only, which cell line is predicted
least sensitive (highest auc)?

RULES
1. Only cell lines whose panel_role is core can be ranked;
   observational ones are carried for reference.
2. Higher auc means less sensitive.

TOOL OUTPUTS

>>> db_lookup(table=""predictions"", select=[""cell_line"", ""auc_pred""])
    predicted vs observed AUC, one row per cell line.
    cell_line   auc_pred  auc_true
    ----------  --------  --------
    ACH-000987  0.6154    0.6154  
    ACH-000997  0.6163    0.6163  
    ACH-000226  0.6164    0.6164  
    ACH-000118  0.6135    0.6135  
    ACH-000149  0.6152    0.6152  
    ACH-000147  0.6152    0.6152  

>>> design_lookup(aspect=""cell_line_panel"")
    panel membership for this screen.
    cell_line   panel_role   
    ----------  -------------
    ACH-000987  core         
    ACH-000997  core         
    ACH-000226  observational
    ACH-000118  core         
    ACH-000149  core         
    ACH-000147  core         

OUTPUT FORMAT
Reply with exactly one line and nothing else:
ANSWER: <cell_line label exactly as it appears in the table>
",,ACH-000997,"(depends on: round 1 answer ACH-000149; highest core-panel auc is 0.6163 on ACH-000997 -> ACH-000997; ablations: ranking without the panel table gives ACH-000226, which is observational)"
